strategy,total_trades,win_rate,avg_win,avg_loss,expectancy,max_drawdown,sharpe,profit_factor,total_return,cagr
S1,46,0.3696,0.04829,-0.03135,-0.00192,-0.3468,-0.025,0.903,-0.1324,-0.0158
S2,37,0.3514,0.04662,-0.04114,-0.0103,-0.4755,-0.391,0.614,-0.3771,-0.0518
S3,38,0.6053,0.02182,-0.03831,-0.00192,-0.2188,-0.108,0.873,-0.1307,-0.0156
S4,80,0.625,0.0196,-0.03472,-0.00077,-0.2349,-0.122,0.941,-0.1746,-0.0213
S5,62,0.3548,0.02971,-0.01487,0.00095,-0.1605,0.002,1.099,-0.0234,-0.0027
S7,570,0.3772,0.01281,-0.00885,-0.00068,-0.7039,-0.825,0.876,-0.6109,-0.1006
S8,98,0.5,0.03124,-0.01779,0.00672,-0.252,0.582,1.756,0.7065,0.0619
S9,213,0.3427,0.02414,-0.01402,-0.00094,-0.4478,-0.125,0.898,-0.2451,-0.0311
S10,26,0.5,0.0298,-0.03764,-0.00392,-0.3232,-0.116,0.792,-0.149,-0.018
ENSEMBLE,239,0.3389,0.02204,-0.01109,0.00014,-0.3286,-0.057,1.019,-0.1576,-0.0191
